duration_min,civilization_id,villagers_dark_age,villagers_feudal_age,villagers_castle_age,villagers_imperial_age,mil_trained_dark_age,mil_trained_feudal_age,mil_trained_castle_age,mil_trained_imperial_age,apm_dark_age,apm_feudal_age,apm_castle_age,apm_imperial_age,gather_point_count,wall_count,move_count,order_count,stance_count,first_wall_min,market_min,first_barracks_min,first_stable_min,first_archery_min,blacksmith_min,feudal_min,castle_min,imperial_min,double_bit_axe_min,horse_collar_min,gold_mining_min,wheelbarrow_min,loom_min,forging_min,fletching_min,bodkin_arrow_min,result,elo,barracks_count,stable_count,archery_count,blacksmith_count
42.57,57,17,36,64,30,0,15,66,52,641,628,1220,539,185,20,1918,448,66,9.1,15.48,8.31,,9.89,14.17,6.79,16.58,31.19,20.13,11.02,,22.05,5.9,,17.04,19.26,1,2595,4,0,4,1
42.57,57,27,21,75,42,5,5,33,30,657,839,1317,788,335,12,1831,484,523,12.16,15.84,5.55,,40.31,11.54,6.68,16.56,30.76,34.1,16.63,17.02,24.81,10.46,,31.01,31.73,0,2772,2,0,1,1
42.41,9,18,11,105,42,0,10,78,47,510,367,1220,262,174,15,1229,337,105,8.31,12.33,8.04,20.07,9.32,13.53,7.11,14.43,33.96,18.79,20.44,31.96,23.81,6.69,37.16,15.14,17.1,1,2450,1,7,5,1
42.41,45,20,17,38,20,0,9,69,13,529,416,937,197,123,5,1383,276,7,9.32,35.57,7.73,8.92,11.42,14.12,6.74,16.58,33.56,18.72,9.21,22.06,25.54,6.03,,18.7,19.28,0,2336,1,1,3,1
28.83,37,23,26,27,0,0,21,28,0,508,643,219,0,88,3,720,325,36,9.53,19.65,7.91,9.88,11.49,13.54,7.66,21.26,,,14.85,22.34,,6.82,17.71,14.31,,1,1606,1,3,1,1
28.83,31,33,2,53,0,0,1,18,0,1128,172,539,0,111,12,988,394,174,7.48,13.95,16.1,18.94,,13.83,11.47,14.93,,,,,,7.68,,,,0,1658,1,1,0,1
28.1,14,16,20,23,0,0,15,16,0,630,751,488,0,210,20,1154,316,2,8.19,,7.33,9.46,,15.19,7.21,19.07,,,15.85,,10.87,5.7,19.71,,,1,1593,1,2,0,1
28.1,12,23,28,23,0,0,13,33,0,352,606,231,0,113,22,517,299,37,7.33,17.36,7.84,9.04,10.74,14.06,6.15,19.99,,,11.57,,,5.89,,,,0,1624,2,2,1,1
9.85,6,21,3,0,0,0,0,0,0,589,57,0,0,17,7,516,73,0,8.42,,9.71,,,,6.73,,,,,,,0.01,,,,0,1789,1,0,0,0
9.85,20,15,3,0,0,2,2,0,0,469,121,0,0,32,0,403,73,47,,,5.34,,8.65,,6.34,,,,,,,5.41,,,,1,1743,1,0,1,0
38.05,2,21,26,83,0,0,24,67,0,592,909,845,0,119,17,1600,284,0,8.95,37.71,8.43,16.37,9.44,12.23,7.07,21.72,,15.42,,29.33,19.38,6.22,22.49,13.09,,1,1643,1,3,3,1
38.05,39,20,24,81,0,0,23,57,0,439,575,692,0,150,7,884,310,43,7.66,17.95,8.58,19.9,9.54,10.83,7.07,18.45,,19.05,19.11,,,6.2,,11.86,21.29,0,1607,2,1,1,1
41.71,45,16,22,73,37,0,8,19,57,316,527,504,236,127,11,747,283,3,8.15,20.71,7.94,,8.97,13.22,6.58,19.42,32.68,16.53,10.22,,17.74,5.21,35.76,16.25,22.4,0,1844,1,0,5,1
41.71,9,19,19,49,23,0,18,34,63,410,483,575,306,101,2,973,229,71,11.63,13.95,6.86,13.62,9.59,9.62,7.4,17.86,31.69,35.41,21.27,18.36,27.28,6.12,,10.8,20.57,1,1845,1,4,4,1
27.89,32,20,18,32,0,3,4,31,0,454,462,366,0,89,13,694,262,20,8.69,22.44,6.62,9.32,,12.36,7.12,16.89,,,14.21,,,5.74,18.28,,,1,1640,1,3,0,1
27.89,7,20,28,10,0,0,19,32,0,473,603,239,0,73,10,893,151,1,6.64,26.01,8.16,9.09,11.17,16.24,6.71,18.56,,,10.01,,,6.15,19.7,,,0,1667,3,4,1,1
34.42,9,26,24,97,9,0,9,9,0,654,627,784,18,71,17,1084,313,316,9.6,9.45,7.73,8.91,,17.56,6.57,16.18,30.55,,10.02,16.82,24.25,5.12,32.23,,,0,1570,1,6,0,1
34.42,30,19,17,75,4,0,5,24,13,419,329,648,75,119,8,703,244,24,8.49,26.83,7.96,9.51,29.72,11.61,7.05,16.52,29.64,,10.7,17.55,25.38,6.1,17.77,31.84,,1,1608,1,2,3,1
24.35,8,16,31,6,0,0,31,1,0,366,819,18,0,52,20,833,170,4,9.04,15.98,6.92,8.48,10.88,14.36,6.4,20.94,,21.21,9.7,,19.62,5.41,,18.51,,0,1879,1,2,1,1
24.35,25,20,19,4,0,5,23,6,0,641,861,192,0,82,7,1237,230,7,6.58,17.54,5.94,13.19,9.57,15.14,7.08,19.48,,20.98,21.14,,17.42,6.67,,16.01,22.21,1,1847,1,2,1,1
43.47,36,21,18,114,12,0,7,42,2,435,369,792,49,78,17,892,291,0,10.31,15.81,8.18,9.43,34.36,30.53,7.16,17.36,38.27,,9.6,17.74,19.82,6.65,,,,0,1538,4,1,2,1
43.47,19,22,14,118,8,0,6,86,41,424,399,992,217,138,17,846,484,20,10.71,15.94,7.06,8.89,,22.81,6.61,16.56,36.48,37.41,17.3,17.33,11.82,6.1,28.49,37.39,39.41,1,1595,1,7,0,1
43.73,8,17,20,35,0,0,10,105,0,410,496,1240,0,136,2,1352,419,0,11.08,16.42,8.37,9.26,12.31,15.19,7.01,17.47,,,11.33,17.91,,5.79,22.9,40.13,,0,1572,1,5,1,1
43.73,13,18,25,158,0,0,13,133,0,416,449,1067,0,178,6,824,279,39,12.18,17.15,8.0,18.65,9.34,13.78,7.03,17.85,40.73,,22.19,40.92,34.62,6.07,19.34,14.92,,1,1579,5,5,1,1
37.85,38,17,24,40,3,0,15,96,0,498,751,959,14,136,15,1327,341,93,10.65,32.02,9.79,10.59,14.04,16.6,6.79,18.52,34.33,,9.5,,,5.29,19.9,,,1,1612,1,4,2,1
37.85,3,30,18,64,0,3,8,90,0,527,253,564,0,122,13,683,185,36,9.89,36.28,4.96,19.01,16.52,15.04,9.52,17.54,,,11.99,,,0.6,,30.7,35.84,0,1634,3,1,1,1
47.29,22,22,20,141,0,0,7,173,0,451,444,1232,0,173,9,1019,399,57,11.34,17.0,7.91,9.36,18.23,19.61,7.15,17.88,,,10.53,18.51,21.19,5.85,,,,0,1593,1,4,1,1
47.29,27,18,18,95,13,0,7,115,17,681,553,1577,133,224,24,1544,717,8,3.16,25.12,8.5,9.37,,15.61,7.08,16.96,40.62,,33.06,,22.34,6.21,18.01,44.41,,1,1645,1,3,0,1
27.28,37,22,51,0,0,0,61,0,0,381,826,0,0,102,2,657,213,24,11.62,22.44,7.1,9.44,11.52,13.84,7.25,,,20.09,9.55,,,6.78,23.32,14.92,,0,1646,1,2,2,1
27.28,39,21,24,17,0,0,36,20,0,705,1146,389,0,181,7,1702,170,2,9.79,,5.35,14.53,9.03,9.9,6.69,19.5,,20.13,20.8,,,6.32,,12.27,22.41,1,1619,1,1,2,1
31.69,38,20,26,26,0,0,33,46,0,560,815,382,0,205,11,942,304,54,5.59,,8.47,9.8,13.6,20.6,7.06,21.66,,,11.85,21.9,20.4,6.34,23.73,,,1,1771,1,2,1,1
31.69,27,18,31,35,0,0,28,46,0,400,696,301,0,125,2,781,231,22,11.48,20.42,7.93,9.3,10.18,16.0,7.06,21.85,,,,,,5.9,22.32,,,0,1657,1,3,1,1
18.67,42,21,19,0,0,0,11,0,0,324,381,0,0,61,8,387,122,27,11.12,16.65,7.58,9.29,12.01,14.86,7.03,18.42,,,9.36,,,6.43,,,,1,1615,1,2,1,1
18.67,11,24,20,0,0,0,11,0,0,419,316,0,0,66,4,447,130,0,11.44,,8.96,16.81,10.08,14.15,7.21,,,,12.01,,,6.63,,15.76,,0,1661,1,1,1,1
18.34,12,18,13,0,0,0,16,0,0,400,459,0,0,24,15,569,186,9,11.93,,7.5,,8.91,10.36,6.57,,,16.48,,,,5.51,,11.54,,1,1622,1,0,2,1
18.34,30,23,25,0,0,0,24,0,0,302,489,0,0,35,0,454,175,20,,,7.33,8.95,13.77,11.88,6.49,,,,9.26,,,6.16,,14.69,,0,1650,1,1,2,1
10.54,5,24,3,0,0,4,1,0,0,387,53,0,0,46,0,266,69,6,,,6.6,,9.32,,6.91,,,,,,,5.92,,,,1,1664,1,0,1,0
10.54,2,36,2,0,0,0,0,0,0,361,24,0,0,17,6,263,50,0,8.6,,8.54,9.85,,,7.33,,,,,,,6.33,,,,0,1675,1,1,0,0
17.95,19,17,13,0,0,0,12,0,0,370,472,0,0,55,4,516,151,38,13.29,,7.58,8.45,,16.73,6.22,,,,,,,5.6,,,,1,1742,1,1,0,1
17.95,22,17,20,0,0,0,10,0,0,453,480,0,0,31,13,657,152,2,9.75,,7.52,8.8,,16.08,6.55,,,,16.24,,,5.5,,,,0,1726,1,1,0,1
46.8,32,17,26,105,9,0,19,89,57,510,903,1093,214,197,7,1652,213,127,9.87,26.8,8.09,8.93,,13.01,6.65,19.53,38.15,,9.75,20.91,17.36,5.36,19.95,39.99,44.27,1,1862,2,2,0,2
46.8,26,17,22,72,15,0,25,38,73,666,901,876,478,216,43,1599,671,11,3.48,32.26,7.78,19.53,9.58,11.76,7.13,19.4,33.93,,20.96,20.92,,5.54,20.67,12.91,,0,1819,1,4,1,1
41.83,29,25,17,85,50,4,11,30,88,414,221,487,277,133,20,524,258,0,7.18,30.29,5.21,17.06,10.9,14.58,8.88,17.27,31.25,,25.27,18.38,22.63,8.49,,18.35,,0,1626,3,1,1,1
41.83,20,22,26,69,64,0,15,19,140,411,531,459,414,106,15,807,347,34,8.74,16.47,7.77,17.06,9.32,13.82,7.01,19.24,29.8,,11.53,,20.04,4.07,30.59,14.72,38.51,1,1629,1,4,3,1
22.67,36,32,19,6,0,0,14,2,0,418,429,117,0,83,8,512,149,30,10.55,,8.08,9.53,17.04,14.4,7.27,18.08,,,10.84,,,6.57,20.48,18.64,20.92,1,1646,1,1,1,1
22.67,10,26,28,6,0,0,8,0,0,299,409,92,0,55,10,461,145,2,10.99,15.68,8.23,9.1,,18.5,6.45,18.39,,,11.39,,,5.74,,,,0,1659,1,1,0,1
15.42,13,16,15,0,0,2,10,0,0,673,587,0,0,67,4,914,197,9,8.8,,5.07,,9.08,12.57,6.75,,,,,,,6.04,,13.7,,1,1838,1,0,1,1
15.42,31,22,9,0,0,3,5,0,0,586,277,0,0,36,0,648,109,1,,,5.48,,10.28,12.34,8.05,,,,11.83,,,7.48,,,,0,1842,1,0,1,1
23.54,33,22,25,3,0,0,26,9,0,426,626,41,0,83,20,632,213,19,9.22,18.65,8.16,,9.37,11.96,6.95,19.58,,16.34,,,,6.22,,13.12,22.38,1,1647,1,0,3,1
23.54,35,18,20,5,0,3,18,7,0,407,493,32,0,66,7,573,175,0,9.22,17.73,5.32,,10.48,12.83,7.03,19.22,,20.94,,,,6.26,,14.51,21.96,0,1669,1,0,2,1
31.39,40,22,24,29,0,0,15,22,0,399,538,405,0,109,13,677,310,36,10.49,19.63,7.25,,9.33,9.48,7.02,19.24,,20.65,20.26,20.24,22.06,6.64,,12.43,21.97,1,1633,1,0,3,1
31.39,9,19,17,5,0,0,33,21,0,313,562,336,0,96,8,742,203,2,6.61,15.2,8.22,,10.96,13.43,8.65,21.79,,28.78,,,,7.1,,16.54,28.82,0,1577,1,0,2,2
24.71,34,16,50,0,0,0,12,0,0,422,673,0,0,102,17,632,212,0,4.01,20.87,8.95,,,22.11,6.99,,,,,,19.67,6.15,,22.86,,1,2042,1,0,0,1
24.71,19,17,22,8,0,0,12,4,0,621,1129,316,0,99,1,1435,410,6,21.65,18.21,7.83,8.87,12.21,20.36,6.63,19.04,,,19.9,,,5.63,,21.15,,0,1961,1,1,1,1
11.62,28,21,10,0,0,0,5,0,0,361,195,0,0,55,0,309,105,27,,,,8.51,,,6.32,,,,,,,5.81,,,,1,1725,0,1,0,0
11.62,39,23,4,0,0,0,1,0,0,323,59,0,0,18,4,250,72,0,5.73,,9.26,,,,8.07,,,,,,,7.45,,,,0,1749,1,0,0,0
27.02,2,21,22,29,0,0,16,13,0,442,687,279,0,115,10,822,222,51,9.5,17.35,7.76,9.02,10.02,12.69,6.58,19.25,,,,,,6.21,20.62,13.46,,1,1715,1,2,1,1
27.02,29,30,22,8,0,2,22,33,0,624,473,221,0,97,13,837,201,0,4.6,18.61,7.94,19.61,12.69,19.99,7.41,19.48,,,20.99,,,6.52,20.67,,,0,1665,1,2,1,1
48.4,20,24,25,78,63,0,16,34,162,613,799,837,840,124,4,2065,260,4,7.18,18.8,7.5,8.56,10.07,14.47,6.32,19.79,33.23,16.39,10.9,21.55,18.22,5.77,38.1,15.93,22.6,0,1901,5,12,4,3
48.4,6,15,17,91,32,0,22,71,89,682,929,1045,812,290,12,2034,454,75,10.94,30.2,8.19,19.51,9.08,16.05,6.77,17.91,33.8,26.92,18.43,29.67,31.27,0.02,38.47,18.52,20.73,1,2034,1,5,2,1
54.69,22,18,18,79,45,0,13,57,319,541,721,798,773,141,28,1560,434,149,8.49,32.75,7.98,9.52,17.24,15.25,6.38,19.03,34.3,34.91,9.67,20.27,14.28,8.3,,21.13,26.66,1,2489,11,2,4,1
54.69,20,19,38,100,52,0,14,64,334,450,630,1016,1142,220,29,1417,558,275,5.19,31.49,7.43,18.6,14.03,17.74,6.28,18.14,33.75,43.7,9.94,18.95,26.3,4.62,19.93,41.41,42.45,0,2414,1,13,8,1
43.4,8,17,24,110,7,0,31,61,45,662,1026,1726,330,334,20,1477,424,971,7.92,20.66,7.41,8.92,11.87,14.31,6.8,19.15,36.14,,9.23,38.67,,6.04,19.5,15.73,,0,1888,4,7,1,2
43.4,37,20,32,81,28,0,19,17,45,453,817,504,295,176,33,1051,275,137,8.46,20.2,8.39,9.09,,15.68,6.72,22.28,33.4,,10.9,22.54,20.44,5.82,17.78,39.18,42.1,1,1833,4,3,0,1
20.62,20,18,26,0,0,0,12,0,0,652,962,0,0,44,4,1148,213,95,4.1,,6.8,8.46,9.94,12.92,6.22,19.51,,15.32,9.61,,,5.65,,13.76,,0,1705,1,1,2,1
20.62,16,27,23,0,0,0,27,0,0,419,468,7,0,104,11,455,168,22,9.69,,9.08,,9.86,11.58,7.08,17.85,,19.12,,18.71,,0.06,18.87,13.1,20.54,1,1745,2,0,2,1
44.13,36,23,21,125,26,0,12,75,104,440,497,838,314,205,8,846,341,55,10.68,15.45,8.28,9.33,11.7,16.3,7.0,18.1,35.01,,9.4,19.76,29.48,6.21,19.26,17.04,37.1,1,1702,8,10,1,1
44.13,26,24,23,69,61,0,26,27,56,672,700,827,589,382,2,1433,414,13,12.68,31.77,7.97,16.8,8.94,9.94,6.64,18.11,32.02,,19.7,19.92,29.03,6.33,29.11,11.41,20.86,0,1645,1,5,1,1
16.24,20,19,25,0,0,3,10,0,0,503,546,0,0,74,8,658,232,1,11.25,,5.29,,9.76,12.99,6.38,,,15.62,10.64,,,4.88,,,,0,1784,1,0,1,1
16.24,1,16,18,0,0,0,11,0,0,364,343,0,0,62,4,420,130,13,9.28,,8.17,12.43,9.03,11.2,6.59,,,,,,,5.71,,13.41,,1,1790,1,1,1,1
27.16,5,23,24,16,0,4,21,20,0,341,610,257,0,108,7,671,219,25,12.34,18.07,6.59,19.59,8.99,15.11,6.71,19.04,,19.89,,20.96,,6.24,,15.84,22.31,1,1775,1,1,2,1
27.16,20,15,22,20,0,0,14,7,0,521,761,195,0,87,21,1005,165,62,7.68,15.46,7.33,8.46,9.79,12.26,6.02,19.59,,22.28,20.72,20.77,17.61,5.21,,13.32,23.0,0,1755,1,1,3,1
44.87,43,18,20,71,31,0,2,32,71,324,296,584,300,105,5,678,265,4,9.48,13.74,7.09,9.3,,10.87,7.01,16.75,32.61,,10.05,20.09,28.95,6.68,35.13,25.6,37.52,1,1655,6,6,0,1
44.87,18,25,24,63,0,0,21,105,0,553,556,1206,0,143,21,1329,389,10,9.09,18.77,8.02,,9.0,13.09,6.69,18.91,,,21.01,19.46,23.05,5.69,41.18,17.21,27.6,0,1671,6,0,2,1
34.61,29,25,23,67,0,1,14,58,0,443,498,810,0,149,11,889,329,12,9.25,16.54,7.64,16.26,9.78,14.75,6.73,17.44,32.42,,10.01,33.07,24.99,7.41,26.76,18.57,19.14,1,1759,2,5,2,1
34.61,12,22,24,64,0,0,16,24,0,396,482,622,0,90,9,892,197,7,8.33,24.99,7.56,8.55,12.6,17.77,6.34,17.78,,23.18,19.63,18.97,,4.56,,19.58,20.6,0,1769,1,2,2,1
43.51,33,19,18,117,9,0,18,16,57,594,656,876,380,175,6,1535,329,52,10.28,16.63,8.03,,10.49,12.56,6.71,17.55,33.78,16.34,8.94,,32.07,6.11,42.28,16.33,20.27,0,2443,6,0,7,1
43.51,9,20,18,102,42,0,17,58,63,752,680,1310,537,185,11,1636,423,556,4.26,10.46,7.29,12.73,9.71,14.19,7.52,15.81,32.13,32.61,23.08,31.85,25.02,6.73,39.81,16.53,18.83,1,2139,1,5,4,1
50.29,31,20,24,118,23,0,14,204,64,384,587,1142,204,198,20,1024,391,52,8.95,16.85,8.74,20.02,9.51,10.98,7.05,18.36,42.61,19.86,34.44,,32.0,5.87,33.54,15.28,21.13,0,1697,7,4,3,4
50.29,23,19,21,37,36,0,10,46,136,397,516,614,756,329,20,1075,402,1,8.43,17.54,7.52,9.46,13.44,14.02,7.16,18.69,30.79,17.78,10.04,19.85,20.47,6.59,25.67,14.83,39.57,1,1685,1,6,1,1
29.34,43,19,19,21,0,0,14,57,0,449,447,337,0,109,12,642,262,22,11.78,16.15,8.22,,9.82,12.92,7.0,17.57,,,10.62,,,6.55,18.62,13.72,,0,1806,3,0,1,1
29.34,45,17,31,19,0,0,15,33,0,472,1055,533,0,96,10,1052,255,465,11.69,18.35,6.82,8.1,,15.14,5.84,19.13,,,8.53,,16.53,4.79,15.96,,,1,1789,1,3,0,1
39.25,29,22,38,38,0,0,27,28,0,387,783,423,0,143,5,747,390,15,8.9,20.11,8.75,15.18,9.6,13.3,6.56,25.93,,,8.17,,,8.05,19.56,14.16,,0,1789,1,1,1,1
39.25,7,16,38,53,0,0,27,33,0,629,1224,621,0,141,36,1514,421,52,14.47,27.28,8.2,27.77,8.9,14.46,6.35,25.18,38.55,,,,,4.51,,15.5,,1,1764,2,1,3,1
28.51,45,16,20,17,0,0,8,18,0,431,493,321,0,91,14,678,271,63,10.55,14.9,6.87,8.54,,18.61,6.32,17.5,,,,,,5.46,,,,0,1747,1,1,0,1
28.51,33,24,28,16,0,0,10,45,0,546,726,321,0,100,14,980,308,17,2.49,,8.16,19.45,15.57,15.61,7.39,19.13,,,10.05,20.83,,5.9,,19.63,22.13,1,1738,1,1,3,1
24.02,24,19,33,0,0,0,65,0,0,415,867,0,0,94,3,672,297,70,11.89,,7.5,8.81,10.14,16.27,6.6,,,18.9,8.9,,,6.15,21.41,16.95,,0,1713,1,1,3,1
24.02,4,17,23,0,0,0,40,4,0,609,955,11,0,91,3,1108,226,4,7.13,,8.22,9.11,13.8,15.02,6.72,21.1,,,10.61,22.63,17.6,5.54,22.76,18.89,,1,1783,1,2,1,1
71.84,25,21,18,68,255,0,18,70,661,436,450,819,2126,354,12,1452,621,82,10.25,28.5,7.88,10.22,8.87,14.06,6.67,16.58,30.87,18.31,17.79,17.78,48.55,5.84,49.49,17.72,19.59,0,1729,1,8,3,1
71.84,6,23,19,127,201,0,27,122,802,350,397,870,1520,234,14,1388,363,80,9.78,15.03,8.32,37.0,9.08,18.09,6.86,17.08,34.75,20.33,9.38,38.91,27.11,0.04,41.53,18.82,19.77,1,1691,17,21,24,2
43.51,40,17,18,115,34,0,18,81,28,419,430,956,283,239,14,835,400,62,9.66,13.5,7.63,18.19,8.96,9.57,6.57,16.95,35.28,,19.08,,35.93,5.97,28.46,17.44,20.55,0,1713,5,1,3,1
